id,name,sex,ioc,age,ht,hand,rank,df_mean,1stIn_mean,2ndWon_mean,SvGms_mean,bpSaved_mean,bpFaced_mean,tot_games,winrate,ace_on_service(%),df_on_service(%),point_on_first_service(%),Hard_win(%),Clay_win(%),Grass_win(%),Carpet_win(%),Hard_los(%),Clay_los(%),Grass_los(%),Carpet_los(%),Best_Surface,Worste_Surface,tie_break_rate(%)
222989,Matilda Mutavdzic,Female,GBR,16,177,R,1030,3,42,10,9,3,8,19.0,31.58,1.82,4.39,60.2,31.58,0.0,0.0,0.0,36.84,21.05,10.53,0.0,Hard,Hard,0.0
214297,Jessie Aney,Female,USA,22,177,U,1062,3,43,11,10,3,7,66.0,63.64,2.35,4.3,64.06,1.52,62.12,0.0,0.0,6.06,30.3,0.0,0.0,Clay,Clay,9.09
221209,Anastasia Zolotareva,Female,RUS,18,177,U,714,3,43,11,10,3,7,79.0,50.63,2.15,4.29,62.85,15.19,35.44,0.0,0.0,21.52,27.85,0.0,0.0,Clay,Clay,13.92
209576,Barbora Matusova,Female,CZE,30,177,R,794,3,43,10,10,3,7,64.0,37.5,1.96,4.27,61.63,20.31,17.19,0.0,0.0,35.94,26.56,0.0,0.0,Hard,Hard,9.38
221083,Aya El Sayed,Female,EGY,19,177,U,1113,3,43,10,10,3,8,27.0,33.33,1.9,4.27,61.24,11.11,22.22,0.0,0.0,37.04,29.63,0.0,0.0,Clay,Hard,7.41
213802,Aiko Yoshitomi,Female,JPN,26,177,U,945,3,43,10,10,3,8,72.0,30.56,1.85,4.26,60.98,22.22,5.56,1.39,1.39,52.78,4.17,1.39,11.11,Hard,Hard,0.0
210533,Haine Ogata,Female,JPN,26,177,R,1149,3,43,10,10,3,8,33.0,21.21,1.72,4.25,60.11,12.12,9.09,0.0,0.0,51.52,18.18,6.06,3.03,Hard,Hard,6.06
220762,Julia Lovqvist,Female,SWE,17,177,R,998,3,43,10,10,3,7,14.0,35.71,1.93,4.27,61.46,28.57,7.14,0.0,0.0,50.0,14.29,0.0,0.0,Hard,Hard,7.14
211107,Katie Boulter,Female,GBR,24,180,R,365,3,42,12,10,3,7,213.0,58.69,3.27,4.46,64.87,35.68,2.35,9.86,10.8,29.58,1.41,7.51,2.82,Hard,Hard,13.62
222017,Anouk Koevermans,Female,NED,16,177,R,1320,3,43,10,10,3,8,10.0,20.0,1.7,4.25,60.0,0.0,20.0,0.0,0.0,0.0,80.0,0.0,0.0,Clay,Clay,10.0
220742,Leyre Romero Gormaz,Female,ESP,18,177,U,919,3,43,11,10,3,7,46.0,56.52,2.24,4.29,63.4,10.87,45.65,0.0,0.0,13.04,30.43,0.0,0.0,Clay,Clay,13.04
221213,Ane Mintegi Del Olmo,Female,ESP,17,177,U,759,3,44,11,10,3,7,37.0,51.35,2.16,4.43,62.41,27.03,24.32,0.0,0.0,21.62,27.03,0.0,0.0,Hard,Clay,5.41
203317,Amandine Cazeaux,Female,FRA,31,177,L,1213,3,43,10,10,3,8,40.0,22.5,1.74,4.25,60.23,20.0,2.5,0.0,0.0,47.5,27.5,0.0,2.5,Hard,Hard,10.0
220999,Gemma Lairon Navarro,Female,ESP,19,177,U,1048,3,43,11,10,3,7,18.0,50.0,2.14,4.29,62.79,5.56,38.89,0.0,5.56,16.67,33.33,0.0,0.0,Clay,Clay,5.56
215712,Nicole Gadient,Female,SUI,22,177,U,1225,3,43,10,10,3,8,60.0,28.33,1.82,4.26,60.78,15.0,11.67,0.0,1.67,25.0,40.0,0.0,6.67,Hard,Clay,8.33
202506,Margarita Gasparyan,Female,RUS,25,177,R,100,3,42,11,10,4,7,141.0,50.35,3.52,5.5,62.52,43.26,4.26,2.84,0.0,32.62,13.48,3.55,0.0,Hard,Hard,14.18
202653,Denisa Allertova,Female,CZE,26,177,R,211,3,42,10,10,3,7,149.0,52.35,2.61,5.73,62.87,31.54,17.45,3.36,0.0,27.52,14.09,6.04,0.0,Hard,Hard,12.75
211456,Julia Terziyska,Female,BUL,23,177,R,452,3,43,11,10,3,7,148.0,56.76,2.24,4.29,63.42,48.65,8.11,0.0,0.0,31.08,9.46,0.68,2.03,Hard,Hard,12.84
203288,Jia Jing Lu,Female,CHN,30,177,R,181,3,41,11,9,3,7,253.0,53.36,2.49,4.58,63.39,43.48,5.53,0.4,3.95,33.99,9.09,1.98,1.58,Hard,Hard,8.3
